id,created_at,user_id,content,attachment_base,attachment_extension,title,name
41709646,1629778551,HRQkw1z,"<font color=""#789922"">&gt;&gt;No.41709146</font>",,,,
41710328,1629779596,5MAQJtW,"<font color=""#789922"">&gt;&gt;No.41704613</font><br />
<font color=""#789922"">&gt;&gt;No.41703612</font><br />
<font color=""#789922"">&gt;&gt;No.41703524</font><br />
IHH不是用诡异复苏的世界观开过一个嘛，当时fpi也开了猫鸣( ﾟ∀。)7<br />
总之结果都不是很好",,,,
41710369,1629779709,dze6hqv,"<font color=""#789922"">&gt;&gt;No.41710328</font><br />
主要还是对不上电波( ﾟ∀。)",,,,
41710425,1629779777,X3pmu9c,"<font color=""#789922"">&gt;&gt;No.41710328</font><br />
( ﾟ∀。)猫鸣不是kp不见了吗",,,,
41710550,1629779950,5MAQJtW,"<font color=""#789922"">&gt;&gt;No.41710425</font><br />
确实( ﾟ∀。)<br />
<font color=""#789922"">&gt;&gt;No.41710369</font><br />
仔细想想pc确实没有明确的目标，我是超游直接跑出去的( ﾟ∀。)",,,,
41710910,1629780602,24DqtiH,"有没有看完某个团后感觉学到了某些道理的经历？<br />
或者说，跑团是否可能传达某种价值观？",,,,
41711040,1629780835,X3pmu9c,"<font color=""#789922"">&gt;&gt;No.41710910</font><br />
( ﾟ∀。)7应该是可以的吧",,,,
41711292,1629781256,5MAQJtW,"<font color=""#789922"">&gt;&gt;No.41710910</font><br />
有，可以( ﾟ∀。)<br />
多人有竞技要素的都可以吧<br />
<br />
多人协作中，大家行动不一样<br />
因为在“找乐子”这个共同目的下，每个人获得乐趣的方式本身就不同了",,,,
41711375,1629781402,FPI6J03,"<font color=""#789922"">&gt;&gt;No.41710328</font><br />
( ﾟ∀。)也许是设计不够有趣",,,,
41711407,1629781436,FPI6J03,"<font color=""#789922"">&gt;&gt;No.41710425</font><br />
( `д´)⊂彡☆))д´)我还在！",,,,
41711459,1629781525,FPI6J03,"<font color=""#789922"">&gt;&gt;No.41710910</font><br />
(｀･ω･)当然，有时玩家投入越高，从团中得到理解就越深",,,,
41711580,1629781720,X3pmu9c,"<font color=""#789922"">&gt;&gt;No.41711407</font><br />
(# ﾟ∀。)你还好意思讲，说自己不舒服鸽一天，结果好了不在团里说一声的，我和5ma都以为你还没好就没催，( `д´)⊂彡☆))д`)结果你小子以为没人就鸽了",,,,
41711624,1629781775,FPI6J03,"<font color=""#789922"">&gt;&gt;No.41711580</font><br />
( ﾟ∀。)确实没人了",,,,
41711673,1629781836,sIahNDZ,"<font color=""#789922"">&gt;&gt;No.41711624</font><br />
(｀･ω･)……有的，一直有的。",,,,
41711748,1629781928,FPI6J03,"<font color=""#789922"">&gt;&gt;No.41711673</font><br />
(｀･ω･)等我找找感觉，把猫鸣复习一遍",,,,
41712018,1629782299,FPI6J03,( ﾟ∀。)有想法了，现在开有人玩吗？不长，大约三四天完结,,,,
41712060,1629782354,8mO7CCg,"<font color=""#789922"">&gt;&gt;No.41712018</font><br />
有，你不鸽就什么都好说( ﾟ∀。)",,,,
41712080,1629782374,FPI6J03,(｀･ω･)等我打字,,,,
41712177,1629782510,FIQ8Z75,多人团大量发生(・ω・)但我就是无感,,,,
41717602,1629791595,mDbVXvR,( ﾟ∀。)7”没赶上，太可惜了,,,,
41720407,1629796380,FPI6J03,"( ｣ﾟДﾟ)｣＜加新人了嘿，先车卡，导入后续再说！<font color=""#789922"">&gt;&gt;No.41712787</font>",,,,
41720462,1629796481,mDbVXvR,"<font color=""#789922"">&gt;&gt;No.41720407</font><br />
来了呢亲ᕕ( ᐛ )ᕗ",,,,
41720739,1629796951,6G4W9wD,"<font color=""#789922"">&gt;&gt;No.41720407</font><br />
来了ᕕ( ᐛ )ᕗ",,,,
41720807,1629797039,FPI6J03,"<font color=""#789922"">&gt;&gt;No.41720462</font><br />
<font color=""#789922"">&gt;&gt;No.41720739</font><br />
( ﾟ∀。)请先进密读",,,,
41723731,1629801578,FPI6J03,(｀･ω･)今日似乎无新推荐,,,,
